"geneID","PH6WC_XY335","PH4CVvsXY335","PH4CVvsPH6WC","RIL335"
"Zm00001d001924",0,1,1,1
"Zm00001d001928",0,0,0,1
"Zm00001d001932",0,1,0,0
"Zm00001d001936",1,0,0,1
"Zm00001d001939",0,1,0,0
"Zm00001d001941",0,0,0,1
"Zm00001d001943",0,0,0,1
"Zm00001d001945",0,0,0,1
"Zm00001d001959",1,1,0,0
"Zm00001d001962",0,0,0,1
"Zm00001d001976",0,0,0,1
"Zm00001d001979",1,0,1,0
"Zm00001d001980",0,1,0,0
"Zm00001d001983",0,0,0,1
"Zm00001d001987",0,0,0,1
"Zm00001d001990",0,0,0,1
"Zm00001d001993",0,1,0,0
"Zm00001d001999",0,1,0,0
"Zm00001d002000",1,0,0,1
"Zm00001d002006",0,0,0,1
"Zm00001d002012",0,1,1,0
"Zm00001d002013",0,0,1,0
"Zm00001d002016",0,0,1,1
"Zm00001d002020",0,1,0,1
"Zm00001d002021",0,0,0,1
"Zm00001d002032",1,1,1,1
"Zm00001d002033",0,0,1,0
"Zm00001d002034",0,0,0,1
"Zm00001d002036",0,0,0,1
"Zm00001d002037",0,0,0,1
"Zm00001d002038",0,0,0,1
"Zm00001d002056",0,0,0,1
"Zm00001d002066",0,0,0,1
"Zm00001d002068",0,1,1,1
"Zm00001d002082",0,0,0,1
"Zm00001d002085",0,1,0,0
"Zm00001d002088",0,0,0,1
"Zm00001d002089",0,0,0,1
"Zm00001d002091",0,0,0,1
"Zm00001d002099",1,1,1,0
"Zm00001d002103",1,1,0,0
"Zm00001d002104",0,1,0,0
"Zm00001d002105",0,0,0,1
"Zm00001d002110",0,0,0,1
"Zm00001d002111",0,1,1,0
"Zm00001d002115",0,0,0,1
"Zm00001d002125",0,0,1,0
"Zm00001d002129",0,1,0,0
"Zm00001d002131",0,0,0,1
"Zm00001d002132",0,1,1,0
"Zm00001d002135",0,0,0,1
"Zm00001d002138",0,0,0,1
"Zm00001d002139",1,1,0,1
"Zm00001d002145",0,0,1,0
"Zm00001d002146",1,1,0,0
"Zm00001d002149",0,0,0,1
"Zm00001d002154",0,0,0,1
"Zm00001d002156",0,0,0,1
"Zm00001d002158",0,0,0,1
"Zm00001d002160",0,0,0,1
"Zm00001d002161",0,0,0,1
"Zm00001d002163",1,1,1,0
"Zm00001d002166",1,1,1,1
"Zm00001d002167",0,1,0,1
"Zm00001d002168",0,1,0,0
"Zm00001d002169",1,0,0,1
"Zm00001d002178",0,1,1,1
"Zm00001d002184",0,1,0,0
"Zm00001d002185",0,1,0,1
"Zm00001d002191",1,0,1,0
"Zm00001d002192",0,0,1,1
"Zm00001d002198",0,1,1,0
"Zm00001d002199",0,1,0,0
"Zm00001d002214",0,0,1,1
